artist	title
Sam Cooke	Ain't Misbehavin
Saosin	Bury Your Head
Kings Of Leon	Use Somebody
Bullet For My Valentine	Waking The Demon
Max Richter	Organum
Coldplay	Life In Technicolor
Coldplay	Clocks
Coldplay	Strawberry Swing
Coldplay	Life In Technicolor ii
Coldplay	The Scientist
Coldplay	In My Place
Coldplay	Lost!
Coldplay	Yellow
Coldplay	Speed Of Sound
Five Finger Death Punch	Never Enough
Max Richter	Old Song
Max Richter - Tilda Swinton	Shadow Journal
Herb Alpert And The Tijuana Brass	What Now My Love
We The Kings	Secret Valentine
The Be Good Tanyas	Human Thing
MSTRKRFT	Easy Love
La Roux	Bulletproof
Moby	Raining Again (Steve Angello's Vocal Mix)
Daft Punk	Harder Better Faster Stronger
The Rolling Stones	Jumping Jack Flash
Daft Punk	Aerodynamic
Killswitch Engage	The Arms of Sorrow (Album Version)
Max Richter	Vladimir's Blues
P.O.D.	Set It Off (Album Version)
Cake	Meanwhile_ Rick James...
Daft Punk	Face To Face
Daft Punk	Digital Love
Thrice	Cold Cash Colder Hearts
Amon Amarth	Valhall Awaits Me
Soilwork	Strangler
Red Hot Chili Peppers	C'mon Girl (Album Version)
Sigur Ros	Avalon
Daft Punk	Around The World (Radio Edit)
Tycho	The Disconnect
Cake	Opera Singer
Escape The Fate	Friends And Alibis
DMX	Where The Hood At
Eminem	I'm Back
J. Karjalainen & Mustat Lasit	Sinisten tähtien alla
Daft Punk	One More Time (Short Radio Edit)
Yung Joc feat Jazze Pha	Momma (featuring Jazze Pha) (Amended Album Version)
Daft Punk	Crescendolls
The Rolling Stones	Angie
Juvenile / Mannie Fresh / Lil Wayne	Back That Azz Up
Daft Punk	Too Long
DMX	X Gon' Give It To Ya
Juvenile	Set It Off
Daft Punk	Technologic
Justice	DVNO
Postal Service	The District Sleeps Alone Tonight (Album)
Postal Service	Clark Gable (Album)
Drowning Pool	Reason I'm Alive (Explicit)
K-OS	EMCEE Murdah
F.I.R.	Change
Lyfe Jennings;Lyfe Jennings featuring Erin	Hypothetically
Eminem	Criminal
Justice	Let There Be Light (album version)
Daft Punk	Voyager
Kim Sozzi	All I Want Is You (Josh Harris Remix)
Daft Punk	Robot Rock
Kajagoogoo	Too Shy
Justin Bieber	Never Let You Go
Steely Dan	Peg
Bruce Springsteen	I'm On Fire
Steely Dan	Kid Charlemagne
Moguai	Get:On
Daft Punk	Human After All
Aghast View	Groundzero (Original Version)
Ramones	Today Your Love_ Tomorrow The World (Remastered Album Version )
Custom Blue	Structure
The Stone Roses	Made Of Stone
Britt Nicole	Safe
Cake	Italian Leather Sofa
Toby Love	Don't Cry (La Niña Que Soñe)
Daft Punk	Short Circuit
Jack Johnson	Supposed To Be
Miley Cyrus	Full Circle
Katy Perry	Hot N Cold (Manhattan Clique Remix Radio Edit)
Bow Wow feat. Chris Brown and Johntá Austin	Shortie Like Mine
Justin Bieber / Usher	First Dance
Lily Allen	Everythings Just Wonderful
The Killers	The Ballad of Michael Valentine
Vampire Weekend	I Stand Corrected (Album)
Tiny Vipers	They Might Follow You
Amy Winehouse	Monkey Man
Soltero	Bleeding Hearts
The Presidents of the United States of America	I'm Mad
Mariah Carey	Dreamlover
Radney Foster	Big Idea
Beirut	Guyamas Sonora
Kosheen	Empty Skies
Erin McKeown	Fast As I Can
Iration	The End
Postal Service	Sleeping In (Album)
Metric	Gimme Sympathy
Disturbed	Sacred Lie (Album Version)
Rise Against	Swing Life Away
Metric	Help I'm Alive
Camera Obscura	Teenager
Boys Like Girls	Hero/Heroine
Disturbed	Just Stop (Album Version)
Metric	Stadium Love
Panic! At The Disco	Build God_ Then We'll Talk (Album Version)
Modest Mouse	Interstate 8
Eminem	Rock Bottom
Metric	Satellite Mind
The Killers	Daddy's Eyes
Prince & The Revolution	Purple Rain
Justin Timberlake	Señorita
Kings Of Leon	Camaro
Disturbed	Meaning Of Life (Album Version)
Primus	Fisticuffs
Foals	Tron
Fiona Apple	Never Is A Promise
Fonseca	Como Me Mira
Metric	Twilight Galaxy
Fonseca	Arroyito
Godsmack	What If?
Roadrunner United	Annihilation By The Hands Of God (Album Version)
Lonnie Gordon	Catch You Baby (Steve Pitron & Max Sanna Radio Edit)
The All-American Rejects	Why Worry
Girl Talk	Double Pump
Foreigner	Tramontane [Instrumental]
Fonseca	Melancolia Del Ayer
The Killers	Bling (Confession Of A King)
the bird and the bee	You're A Cad
Beirut	The Penalty
the bird and the bee	Baby
Godsmack	Keep Away
Metric	Poster Of A Girl
Girl Talk	Summer Smoke
Amy Winehouse	What Is It About Men
Train	For Me_ It's You
The New Pornographers	The Fake Headlines
Foals	Red Socks Pugie
The Shins	Black Wave (Album)
J-Black & Masta Ace	Hellbound
Everything But The Girl	Missing
The Kills	Goodnight Bad Morning
Metric	Collect Call
Beirut	Postcards From Italy
Il Divo	Hallelujah (Aleluya)
Jonas Brothers	Year 3000
Owl City	The Tip Of The Iceberg
Simple Plan	Generation (Album Version)
Apocalyptica	Farewell
The Decemberists	The Bachelor and the Bride
Apocalyptica	Hope
The Shins	Caring Is Creepy
Sick Puppies	Anywhere But Here
Andrew Bird	Natural Disaster
System of a Down	Vicinity Of Obscenity
Ludovico Einaudi	Svanire
Faith No More	Last Cup Of Sorrow
Saliva	Click Click Boom
The Decemberists	The Gymnast_ High Above the Ground
Billy Curringham	People Are Crazy
CKY	Tripled Manic State
Alter Bridge	Before Tomorrow Comes
Beirut	Nantes
Ron Carter	I CAN'T GET STARTED
Metric	Gold Guns Girls
Alejandro Sanz	Siempre Es De Noche
Apocalyptica / Sandra Nasic	Path
Metric	Front Row
Cuentos Borgeanos	Romanticótico
10 Years	Wasteland
the bird and the bee	Love Letter To Japan
Lifehouse	All That I'm Asking For
Laura Marling	Tap At My Window
Foals	Balloons (Single version)
Sa Trincha	Live from Heart
Gipsy Kings	Trista Pena
Metric	The Police And The Private
Flogging Molly	Rebels of the Sacred Heart
Pearl Jam	Yellow Ledbetter
Gipsy Kings	Djobi_ Djoba
Jake Hess	You And Me Jesus
Muse	Uprising
Deep Blue Something	Breakfast At Tiffany's
Jason Mraz & Colbie Caillat	Lucky (Album Version)
Jonas Brothers	S.O.S.
Michael Cretu	The Invisible Man
Green Day	American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version)
The Script	Breakeven
Flogging Molly	Swagger
Franz Ferdinand	No You Girls
Band Of Horses	The Funeral (Album Version)
Plain White T's	Hey There Delilah
matchbox twenty	3AM (LP Version)
Owl City	Vanilla Twilight
Morten Breum	Domestic (feat. Nik & Jay)
Adam Lambert	If I Had You
Cage The Elephant	Ain't No Rest For The Wicked (Original Version)
Paramore	The Only Exception (Album Version)
Burial	Broken Home
Kelly Clarkson	The Trouble With Love Is
Mickie Krause	Orange Trägt Nur Die Müllabfuhr (Go West)
Fisher	Rianna
Katy Perry	I Kissed A Girl
3 Doors Down	Here Without You
Flogging Molly	If I Ever Leave This World Alive
Rage Against The Machine	Bombtrack
Triumvirat	Waterfall
Randy Crawford	Almaz
Travie McCoy	Billionaire [feat. Bruno Mars]  (Explicit Album Version)
Alanis Morissette	Ironic (Acoustic Album Version)
Daft Punk	Face To Face / Short Circuit
Stephane Pompougnac	Ghosts and Roses
Toots Hibbert	(I've Got) Dreams To Remember
Aesop Rock	No City
Taylor Swift	Love Story
Bill Withers	Make Love To Your Mind
B.o.B	Nothin' On You [feat. Bruno Mars] (Album Version)
The Doors	Strange Days
Future Loop Foundation	What's Your Name
Daughtry	Home
Dean Evenson	Mossing Around
John Mayer	Half Of My Heart
The Blizzard	Kalopsia
The Brother Kite	Get On_ Me
Art Pepper	Mambo De La Pinta
The Killers	When You Were Young
Hannah Montana	You'll Always Find Your Way Back Home
The Black Keys	I Got Mine
Scott Walker	Rosemary
Octopus Project	Rorol
Phil Collins	I Don't Wanna Know
Skream	Auto-Dub
Cut Copy	That Was Just A Dream
Matt Wertz	I'm Sorry Mary
Four Tet	Hilarious Movie Of The 90s
matchbox twenty	Mad Season (LP Version)
A Tribe Called Quest	Crew
Hot Chip	Take It In
Aesop Rock	Dark Heart News
LCD Soundsystem	Us V Them
Finger Eleven	Gather & Give
Olé Olé	Con sólo una mirada
matchbox twenty	Hand Me Down (Album Version)
Justice	TTHHEE PPAARRTTYY
Collective Soul	Where The River Flows  (LP Version)
Hot Chip	We Have Love
Justice	Newjack
Collective Soul	Run (LP Version)
matchbox twenty	Could I Be You (Album Version)
Justice	One Minute To Midnight
CKY	Behind The Screams
The Black Keys	Next Girl
Delirious?	My Glorious
Caetano Veloso	O Samba E O Tango
Cut Copy	Lights & Music
Mayday Parade	Take This To Heart (Album)
Leggo Beast	Itchy Feet
Cut Copy	Saturdays
Boys Noize	Arcade Robot
MSTRKRFT	Neon Knights
Boys Noize	Deny Selected
Godsmack	Voodoo
Octopus Project	Hold The Ladder
Eric Church	Sinners Like Me
Aerosmith	Walk This Way
Eric Church	How 'Bout You
Flying Lotus	SexSlaveShip
matchbox twenty	Push (Remastered Version)
Eric Church	Carolina
Octopus Project	Tuxedo Hat
REO Speedwagon	Can't Fight This Feeling
Bruce Springsteen	I'm Goin' Down
Eric Church	These Boots
Eric Church	Two Pink Lines
Nickel Creek	The Lighthouse's Tale
Hot Chip	So Glad To See You
Eric Church	Livin' Part Of Life
Fernando Soto	Suena tu guitarra
Kutt Calhoun	N A Whitemanzeyez
Avenged Sevenfold	Scream (Album Version)
Billy Curringham	Don't
Cut Copy	Feel The Love
Eric Church	Guys Like Me
Coldplay	God Put A Smile Upon Your Face
Nickel Creek	Out Of The Woods
Sigur Rós	Andvari
Fatboy Slim	Illuminati
Camila	Perderte De Nuevo
Beastie Boys	The Update
Coldplay	Brothers & Sisters
The Black Keys	Your Touch
The Knife	Marble House
Orishas	Elegante
Camila	Coleccionista De Canciones
Michael Jackson	She's Out Of My Life
Marc Anthony	Valio La Pena
The Black Keys	These Days
Camila	Alejate De Mi
Cut Copy	Unforgettable Season
New Found Glory	Hold My Hand
LCD Soundsystem	Too Much Love
MSTRKRFT	She's Good For Business
Holy Fuck	Choppers
Lila Downs	El Relampago
Skream	Kut-Off
Black Eyed Peas	Rockin To The Beat
Chromeo	My Girl Is Calling Me a Liar
Epica	Incentive (Bonus Track)
Lila Downs	La Bamba
Andres Calamaro	Me Arde
Flying Lotus	Comet Course
The Black Keys	Black Mud
Tony Dize	Quizas
Octopus Project	Marshall Examines His Carcass
Bryan Adams	Heaven
Coldplay	We Never Change
The New Pornographers	Execution Day
Hot Chip	Slush
Justice	Waters Of Nazareth (album version)
Daddy Yankee / Randy	Salgo Pa' La Calle
Black Eyed Peas	Bebot
The Velvet Underground	Train Round The Bend (LP Version)
Orishas	Nací Orishas
The Knife	Na Na Na
Saliva	Doperide
The Black Keys	Lies
Confederate Railroad	Jesus And Mama (LP Version)
LCD Soundsystem	Daft Punk Is Playing At My House
Chromeo	Momma's Boy
Octopus Project	Exit Counselor
The Black Keys	Things Ain't Like They Used To Be
Melody Club	Evil Thing
Dexy's Midnight Runners	I Couldn't Help It If I Tried
Octopus Project	Hypnopaedia
Klaus Badelt	He's A Pirate
Ryan Adams & The Cardinals	Peaceful Valley
Damien Rice	Cold Water
Boys Noize	The Battery
Corinne Bailey Rae	Enchantment
The Black Keys	Sinister Kid
Faith No More	Anne's Song
Hot Chip	One Life Stand
1990s	Situation
Amos Lee	What's Been Going On
Deadmau5 & Kaskade	I Remember
PATY CANTU	Me Quedo Sola
DevilDriver	Cry For Me Sky (Eulogy Of The Scorned) (Album Version)
Bright Eyes	Lua (Single Version)
The Black Keys	All You Ever Wanted
The Black Keys	The Go Getter
Boys Noize	Oh!
Metallica	Of Wolf And Man
Lloyd	StreetLove
LCD Soundsystem	On Repeat
Wolfmother	Witchcraft
Every Avenue	A Story To Tell Your Friends (Album)
Flying Lotus	GNG BNG
Arctic Monkeys	Teddy Picker (Explicit)
Robin Thicke	All Night Long
Simian Mobile Disco	Simple
The Black Keys	Psychotic Girl
Flying Lotus	Brainfeeder
LMFAO	I Shake_ I Move
Boys Noize	Let´s Buy Happiness
Coldplay	Sparks
Lloyd	Player's Prayer
Bloodhound Gang	Foxtrot Uniform Charlie Kilo
3OH!3	COLORADOSUNRISE (Explicit Album Version)
Toby Keith	Courtesy Of The Red_ White And Blue (The Angry American)
Justice	Valentine
LMFAO	Get Crazy
Richard Marx	Hold On To The Nights
Skream	Tortured Soul
Rob Zombie	Living Dead Girl
Coldplay	Warning Sign
Beastie Boys	The Maestro
Joan Manuel Serrat	Tio Alberto
Green Day	Know Your Enemy (Album Version)
DUNCAN SHEIK	Barely Breathing (LP Version)
Less Than Jake	The Rest Of My Life (Album Version)
Skillet	Should've When You Could've (Album Version)
Air	Playground Love
The Black Keys	Unknown Brother
Chromeo	Call Me Up
Skillet	One Day Too Late (Album Version)
Coldplay	The Goldrush
Michael Jackson	Thriller
The Format	I'm Ready_ I Am (Album Version)
Hot Chip	Baby said
LCD Soundsystem	Get Innocuous!
Four Tet	Glue Of The World
Christy Nockels	Healing Is In Your Hands
Holy Fuck	Frenchys
Justice	Phantom
Skream	Colourful
LCD Soundsystem	Thrills
Hot Chip	I Feel Better
Lionel Richie	I'm Missing Her
Skillet	Don't Wake Me (Album Version)
The Black Keys	Shes Long Gone
India.Arie	Beautiful Surprise
The Strokes	Clampdown
LCD Soundsystem	Great Release
Miley Cyrus	East Northumberland High
The Black Keys	You're The One
Penguin Café Orchestra	Prelude And Yodel (2008 Digital Remaster)
The Pussycat Dolls	In Person
Plies	Worth Goin FED Fo (Explicit Album Version)
Camila	Coleccionista De Canciones  (Version Acustica)
Sondaschule	Faden
Postal Service	Recycled Air (Album)
Nickelback	Breathe (Album Version)
Creedence Clearwater Revival	Susie Q
Girl Talk	Too Deep
Damn Yankees	High Enough (Album Version)
Bersuit Vergarabat	Espiritu De Esta Selva
The Black Keys	Every Lasting Light
Ry Cooder	Corrido de Boxeo
Hot Chip	Beach Party
LCD Soundsystem	Losing My Edge
Octopus Project	Responsible Stu
Keisha White	Brother
the bird and the bee	Meteor
The Presidents of the United States of America	Lump
The Black Keys	Strange Times
Bersuit Vergarabat	Murguita Del Sur
LCD Soundsystem	Movement
Flying Lotus	Breathe . Something/Stellar STar
Tom Petty And The Heartbreakers	Learning To Fly
Dio	Rainbow In The Dark
Blink-182	Don't Leave Me
The Northern Pikes	Girl With a Problem
Coldplay	A Rush Of Blood To The Head
We Are Scientists	It's A Hit (Live at 93 Feet East)
Sergio Caputo	Blu Elettrico
Skream	Stagger
Holy Fuck	The Pulse
The Ordinary Boys	Boys Will Be Boys
Cut Copy	Out There On The Ice
Sigur Ros	Agaetis Byrjun
The Strokes	New York City Cops
The Strokes	Is This It
The Black Keys	The Only One
Green Day	Letterbomb [feat. Green Day & The Cast Of American Idiot] (Album Version)
Nevermore	This Sacrament
Chromeo	Opening Up (Ce Soir On Danse)
Creedence Clearwater Revival	Who'll Stop The Rain
Four Tet	Twenty Three
Creedence Clearwater Revival	Green River
No Doubt	Sunday Morning
Sia	Lentil
Gazpacho	Premonicion
Sia	Don't Bring Me Down
Coldplay	Shiver
Deadmau5	Moar Ghosts 'n' Stuff
Octopus Project	Six Feet Up
Tom Petty And The Heartbreakers	Into The Great Wide Open
Angels and Airwaves	The Gift
The Black Keys	The Flame
Boys Noize	Shine Shine
The Black Keys	Ten Cent Pistol
Coldplay	Daylight
Bullet For My Valentine	Hearts Burst Into Fire
As I Lay Dying	Through Struggle
Octopus Project	What They Found
Plan B	The Recluse
Coldplay	Spies
Octopus Project	Lots More Stairs
Nine Inch Nails	Right Where It Belongs
Gene Chandler	Duke Of Earl
Coldplay	Don't Panic
Marc Anthony	Hasta Ayer
Sia	Electric Bird
Future Rock	Gears
Joy Division	Digital
Gat Décor	Passion
The Strokes	You Only Live Once
The Strokes	Killing Lies
Beirut	Cliquot
The Black Keys	Tighten Up
Flobots	There's A War Going On For Your Mind
Phoenix	Rome
Angus & Julia Stone	The Beast
Joy Division	Isolation
Slipknot	Spit It Out [Explicit]
Slipknot	Eyeless (Live version) (Album Version)
Flobots	We Are Winning
Sia	Pictures
The Black Keys	Howlin For You
Ericke	The Beat Is Rockin (Original Mix)
The Black Keys	Im Not The One
Flobots	Anne Braden
Alice In Chains	Down In A Hole
Interpol	No I In Threesome
Coldplay	Fix You
Cut Copy	Hearts On Fire
Cut Copy	Strangers In The Wind
Obie Trice	Cry Now
Marisa Monte	Nao Va Embora
Flobots	Stand Up
MSTRKRFT	Street Justice
MSTRKRFT	Work On You
Living Joy	Dreamer
Sonic Youth	Disconnection Notice
Holy Fuck	Safari
Trisha Yearwood	XXX's And OOO's (An American Girl)
Benevento / Russo Duo	Hate Frame
Daft Punk	Aerodynamite
The Pussycat Dolls	Hush Hush
Hot Chip	Keep Fallin
Caribou	Odessa
Four Tet	Untangle
Manowar	Blood Of The Kings  (LP Version)
The Pretend It's December Choir	It's Christmas So We'll Stop (Choir Version)
Chromeo	Bonafied Lovin (Radio Edit)
Eminem	Must Be The Ganja
Daft Punk	Television Rules The Nation / Crescendolls
Old Crow Medicine Show	Highway Halo
The All-American Rejects	Swing_ Swing
Octopus Project	The Adjustor
The Lonely Island / Jack Black	Sax Man
The Strokes	I'll Try Anything Once
Wilco	Sky Blue Sky
The Knife	Forest Families
LCD Soundsystem	Disco Infiltrator (FK's Infiltrated Vocal)
Stefan Schrom	I Feel For You
Coldplay	For You
A Perfect Circle	The Noose
MC5	Baby Won't Ya  (LP Version)
LCD Soundsystem	Watch The Tapes
Audioslave	I Am The Highway
Jane's Addiction	Mountain Song ( LP Version )
Faith No More	Ashes To Ashes
Binary Star	OneManArmy
Ice Cube	It Was A Good Day
Ceca - Svetlana Raznatovic	Bruka
Dr. Dre / Thomas Chong / Mary J. Blige / Rell	The Message/ Outro
Diam's	Dans Ma Bulle (Edit Radio - Live 2006)
Queens Of The Stone Age	Make It Wit Chu
Lila Downs	Bésame Mucho
Nickelback	Never Again
Röyksopp	So Easy
Metallica	The Day That Never Comes
Andrew Bird	Plasticities
Culture Club	Do You Really Want To Hurt Me
Foo Fighters	Weenie Beenie
Van Halen	Hang 'em High (Album Version)
The Kills	U.R.A Fever
City And Colour	Sleeping Sickness
Pixies	Hey
Blur	End Of A Century
Jill Scott	I Think It's Better
Foals	Electric Bloom
Röyksopp	Eple
Andrew Bird	Yawny And The Apocalypse
Benny Benassi Presents The Biz	Satisfaction
Massive Attack	Paradise Circus (Gui Boratto Remix)
Ace of Base	The Sign
Green Day	Whatsername [feat. Green Day & The Cast Of American Idiot] (Album Version)
Chevelle	Blank Earth (LP Version)
OneRepublic	Apologize
Marilyn Manson	mOBSCENE
Gang Of Four	Guns Before Butter
The Boxer Rebellion	Forces (Album Version)
George Younce	This Old House w/ When The Saints Medley
The Acacia Strain	Skynet
Rage Against The Machine	Township Rebellion
Edward Sharpe & The Magnetic Zeros	Up From Below
Joshua Radin	The Fear You Won't Fall
As I Lay Dying	Wrath Upon Ourselves
Rage Against The Machine	Take The Power Back
Carlos Vives	La Cartera
Rage Against The Machine	Fistful Of Steel
Andrés Cepeda	Me Lleva Tiempo
Talking Heads	Once In A Lifetime (Remastered LP Version )
Ismo Alanko Säätiö	Nokian Takana
Camera Obscura	Number One Song
Cream	White Room
A Fine Frenzy	Almost Lover (Album Version)
Alex M. vs. Marc van Damme	Fly Away
Andrew Bird	Fiery Crash
Pixies	Bone Machine
The Shins	Sea Legs (Album)
LMFAO	Scream My Name
Kurt Vile	Freak Train
Bloc Party	Banquet
Joy Division	Disorder [2007 Re-mastered Album Version]
John Scofield	Rule Of Thumb (Album Version)
George Braith	Nut City (2000 Digital Remaster) (The Rudy Van Gelder Edition)
Adam Lambert	Fever
A Day To Remember	Monument (Album Version)
NOFX	All Outta Angst
A Day To Remember	Mr. Highway's Thinking About The End
A Day To Remember	My Life For Hire
Marina And The Diamonds	Hollywood (Album Version)
A Day To Remember	NJ Legion Iced Tea
A Day To Remember	Holdin' It Down For The Underground
Gerry Rafferty	Right Down The Line
Alison Krauss / Union Station	Let Me Touch You For Awhile
Brooks & Dunn	My Maria
Bullet For My Valentine	Room 409
Andrew Bird	Cataracts
Alison Krauss	Stay
Second Hand Serenade	Why
Francesca Battistelli	Beautiful_ Beautiful (Album)
Cat Power	Metal Heart
Modest Mouse	Float On
Metallica	The Unforgiven III
3OH!3	My First Kiss (Feat. Ke$ha) [Album Version]
Kiss	I Was Made For Lovin' You
Andrew Bird	Armchairs
The Salsoul Orchestra	Salsoul Hustle
Maná	Ana
Bruce Springsteen	Radio Nowhere
Regina Spektor	Lady (Album Version)
Discovery	Swing Tree
Andrew Bird	Heretics
T.I.	Dead And Gone [feat. Justin Timberlake] (Explicit Album Version)
Local Natives	Stranger Things
Local Natives	World News
Local Natives	Cubism Dream
Climie Fisher	Love Changes (Everything)
Sanctus Real	Lead Me
Lifehouse	Walking Away
Garbage	Queer
Edward Sharpe & The Magnetic Zeros	Home
Akon	Don't Matter
Stars	Take Me To The Riot
Cass McCombs feat. Karen Black	Dreams-Come-True-Girl
The Shins	Phantom Limb (Album)
Blind Melon	Sleepyhouse
Foals	This Orient
Talking Heads	Road To Nowhere (Remastered LP Version )
Morcheeba	Over And Over
Big Country	Winding Wind
Ellie Goulding	Under The Sheets
Rilo Kiley	I Never (Album Version)
The Boxer Rebellion	These Walls Are Thin (Album Version)
Robin Thicke	Teach U a Lesson
Cameo	Word Up
Audioslave	Shadow On The Sun
Erasure	Fingers And Thumbs (Cold Summer's Day) (Sound Factory Remix)
Andrew Bird	Dark Matter
Stars	Ageless beauty
Warren Zevon	Werewolves Of London (LP Version)
Sufjan Stevens	Pittsfield
Foals	After Glow
Cage The Elephant	Back Against The Wall
Linkin Park	Bleed It Out [Live At Milton Keynes]
Taylor Swift	Tim McGraw
Jack Johnson	Times Like These
Vampire Weekend	Oxford Comma (Album)
Vampire Weekend	A-Punk (Album)
The Avett Brothers	Head Full Of Doubt/Road Full Of Promise
Jack Johnson	Do You Remember
Two Door Cinema Club	What You Know
Death Cab for Cutie	I Will Follow You into the Dark (Album Version)
Kid Cudi / MGMT / Ratatat	Pursuit Of Happiness (nightmare)
Radiohead	Creep (Explicit)
A Day To Remember	If It Means A Lot To You
California Swag District	Teach Me How To Dougie
Bon Iver	Skinny Love
MGMT	Time To Pretend
MGMT	Electric Feel
Florence + The Machine	Cosmic Love
Five Finger Death Punch	Bad Company
Yeah Yeah Yeahs	Heads Will Roll
Old Crow Medicine Show	Methamphetamine
Old Crow Medicine Show	James River Blues
Stars	Sleep tonight
Shione Yukawa	I Want You Back
Nando Reis	Por Onde Andei
Weezer	No One Else
Yeah Yeah Yeahs	Runaway
The Killers	Losing Touch
Blind Melon	Dear Ol' Dad
Bright Eyes	At The Bottom Of Everything
Weezer	Island In The Sun
Yung Joc featuring Bun B & Young Dro	I'm A G (feat. Bun B & Young Dro) (Explicit Album Version)
Ryan Adams	Oh My God_ Whatever_ Etc.
